username,full_name,platform,total_followers,total_media_posts,account_category,boost_index,engagement_rate,engagement_rate_60d,avg_likes,avg_comments,avg_video_views,avg_1d,avg_3d,avg_7d,avg_14d,avg_30d,profile_url
cristiano,Cristiano Ronaldo,Instagram,465027234,3328,Sports,92,0.0149155921900756,0.0159030927931213,8671952.6875,51758.33092659446,17009493.6,,,3321113.0,5327340.25,6948658.866666666,https://www.instagram.com/cristiano
kyliejenner,Kylie Jenner,Instagram,356687629,6921,,91,0.0176172152549418,0.0161886350096952,8296735.662500001,47534.12096106048,22875472.888888888,,,1223002.0,2196528.5,4692458.947368421,https://www.instagram.com/kyliejenner
leomessi,Leo Messi,Instagram,347032978,875,,90,0.015533561657092,0.0190450212750402,6895177.8125,47044.540305010894,11761596.36893204,,4810554.0,3199807.0,5359468.6,5668453.857142857,https://www.instagram.com/leomessi
selenagomez,Selena Gomez,Instagram,334551681,1835,,93,0.0139126869029708,0.0077196615835974,6252711.416666667,39167.115727002965,10723973.0,,,,2340219.0,2340219.0,https://www.instagram.com/selenagomez
therock,Dwayne Johnson,Instagram,327064138,6660,,91,0.0044259384268964,0.0037225454671269,1874150.5038461536,8529.747042766152,5413831.362873134,,,713970.0,1101338.5555555555,1165227.3846153845,https://www.instagram.com/therock
kimkardashian,kimkardashian,Instagram,323090977,5603,,91,0.0083036448285169,0.0096888634520251,3536820.0625,16964.807439824945,9642516.175438596,,2583151.0,2699977.6666666665,2704005.272727273,2586789.375,https://www.instagram.com/kimkardashian
arianagrande,arianagrande,Instagram,321374794,4961,,92,0.0093256767297369,0.0101579095640005,3712125.9285714286,19077.731583403896,6654929.029801325,,,3813109.0,3813109.0,3384398.0,https://www.instagram.com/arianagrande
beyonce,beyonce,Instagram,267023539,2036,,92,0.0107577041435847,0.0067705433500347,3627594.6666666665,24558.145400593472,8767897.17142857,,,4311158.0,4311158.0,1686724.1538461538,https://www.instagram.com/beyonce
khloekardashian,khloekardashian,Instagram,260359924,4092,Sports,89,0.0065565040472791,0.0031117441866369,2391194.0,10442.21153846154,7593868.457142857,,,,,,https://www.instagram.com/khloekardashian
kendalljenner,kendalljenner,Instagram,247599374,666,,90,0.0167289360056751,0.0193389815470684,5520992.5,21191.329923273657,14428678.314285714,,6702150.0,6347174.5,5977548.25,5058515.428571428,https://www.instagram.com/kendalljenner
justinbieber,justinbieber,Instagram,247448517,7305,,91,0.0061909883400308,0.0040423175168191,1887637.6785714289,10084.746268656716,4337923.862934363,,,,,1415614.875,https://www.instagram.com/justinbieber
natgeo,National Geographic,Instagram,232020700,10002,Education,91,0.0010919625970223,0.0007261997482379,304664.0,1225.2342857142858,2345345.4444444445,58181.0,95034.3,111805.92307692308,138451.37735849057,158992.71028037384,https://www.instagram.com/natgeo
nike,Nike,Instagram,228524022,932,Sports,90,0.0014312255747742,0.0007551843648689,333382.0,5520.935483870968,2638441.273584905,,,300163.3333333333,273080.0,236986.66666666663,https://www.instagram.com/nike
taylorswift,taylorswift,Instagram,218097325,537,,91,0.0088643626685006,0.017282584056588,2397441.0,334.73,7916979.966666667,,,,2049206.0,2049206.0,https://www.instagram.com/taylorswift
jlo,jlo,Instagram,217547805,3151,Music,89,0.0059140661250396,0.0054101553807396,1691841.5,11942.84,6363148.909937888,,,,688847.0,812984.6,https://www.instagram.com/jlo
virat.kohli,Virat Kohli,Instagram,206743723,1390,Education,87,0.0126033886462027,0.0113492347288479,3472381.5,18090.06725663717,4841319.094240838,,,2740001.0,2874632.0,2210917.5,https://www.instagram.com/virat.kohli
nickiminaj,nickiminaj,Instagram,197697257,6327,Trailers,90,0.0083253495821873,0.0063362570713985,2161401.25,19624.634446397187,6688655.284974094,,,,,,https://www.instagram.com/nickiminaj
kourtneykardash,kourtneykardash,Instagram,188868254,4349,,89,0.0076387718497473,0.0126069938627344,1767538.4642857143,6616.927570093458,5363247.323529412,,,,916201.0,1118825.75,https://www.instagram.com/kourtneykardash
mileycyrus,mileycyrus,Instagram,178122866,1217,,89,0.0057234785514011,0.0091304482754349,1311897.7,6343.567721005677,4289871.829333333,,,,1340388.0,1340388.0,https://www.instagram.com/mileycyrus
neymarjr,neymarjr,Instagram,176162107,5247,Gaming,90,0.0127958937020013,0.0122322483196002,2705534.4857142856,47.64193548387097,6758889.172043011,,1712450.0,1749894.0,1888862.8333333333,2151442.8571428573,https://www.instagram.com/neymarjr
katyperry,katyperry,Instagram,167005817,2028,Nonprofits & Activism,92,0.0035962375118176,0.0021123329820722,720700.2619047619,4824.74638487208,2224739.0827338127,165159.0,165159.0,165159.0,364755.0,325682.28571428574,https://www.instagram.com/katyperry
kevinhart4real,kevinhart4real,Instagram,148755284,8126,Sports,88,0.0028731861174143,0.0010465903132874,533486.9166666667,3749.928125,2553278.8239608803,,,123142.5,155624.8,128413.71428571428,https://www.instagram.com/kevinhart4real
zendaya,zendaya,Instagram,147816903,3537,,87,0.0283538370065137,0.056179011176568,5744110.0,16106.142857142857,7685347.789473684,,,3970268.0,3958943.0,4755622.5,https://www.instagram.com/zendaya
iamcardib,iamcardib,Instagram,137199449,1596,,75,0.015960393761946,0.0157132448179439,3094440.722222222,18910.93456221198,10726141.90066225,,2193580.0,2253376.333333333,2209430.8,1829675.5833333333,https://www.instagram.com/iamcardib
ddlovato,ddlovato,Instagram,136695965,66,,88,0.0064874865350027,0.0028282704388518,1146626.6666666667,9535.060975609756,2385574.5,,,,530567.0,355926.22222222225,https://www.instagram.com/ddlovato
badgalriri,badgalriri,Instagram,133436105,4837,Entertainment,88,0.0203844314182973,0.0291452489837314,3691546.0,20974.19024390244,8827574.28440367,,,,,,https://www.instagram.com/badgalriri
kingjames,kingjames,Instagram,127326148,2331,,86,0.0132422145291974,0.0099841763380461,2102660.333333333,13785.983695652174,5584779.543307086,803501.0,803501.0,879697.5,1429823.4,1462300.8333333333,https://www.instagram.com/kingjames
theellenshow,theellenshow,Instagram,123619409,9987,Pets & Animals,87,0.0026418002535041,0.0008623072747171,424885.52218152216,3787.956893480584,3577368.090144231,,,,84741.0,79112.8,https://www.instagram.com/theellenshow
